Descrição dos resultados obtidos,,,,,,,,,,,,
*IPE: Índice de Permanência Estrutural (%),,,,,,,,,,,,
Produto de classificação (SEM USO DE MÁSCARA),Tamanho do kernel (n X n),Exatidão Global,IPE* (EG[C. Original] / EG[Pontual]),,Kappa Global,Ac. Prod - Secondary Vegetation,Ac. Prod - Water,Ac. Prod - Dirt road,Ac. Prod - Forest,Ac. Prod - Clean Pasture,Ac. Prod - Dirty Pasture,
Mapa_classificação_contextual3X3_MPAD_97DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,97
Mapa_classificação_contextual3X3_MPAD_98DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,98
Mapa_classificação_contextual3X3_MPAD_99DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,99
Mapa_classificação_contextual3X3_MPAD_100DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,100
Mapa_classificação_contextual3X3_MPAD_101DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,101
Mapa_classificação_contextual3X3_MPAD_102DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,102
Mapa_classificação_contextual3X3_MPAD_103DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,103
Mapa_classificação_contextual3X3_MPAD_104DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,104
Mapa_classificação_contextual3X3_MPAD_105DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,105
Mapa_classificação_contextual3X3_MPAD_106DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,106
Mapa_classificação_contextual3X3_MPAD_107DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,107
Mapa_classificação_contextual3X3_MPAD_108DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,108
Mapa_classificação_contextual3X3_MPAD_109DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,109
Mapa_classificação_contextual3X3_MPAD_110DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,110
Mapa_classificação_contextual3X3_MPAD_111DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,111
Mapa_classificação_contextual3X3_MPAD_112DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,112
Mapa_classificação_contextual3X3_MPAD_113DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,113
Mapa_classificação_contextual3X3_MPAD_114DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,114
Mapa_classificação_contextual3X3_MPAD_115DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,115
Mapa_classificação_contextual3X3_MPAD_116DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,116
Mapa_classificação_contextual3X3_MPAD_117DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,117
Mapa_classificação_contextual3X3_MPAD_118DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,118
Mapa_classificação_contextual3X3_MPAD_119DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,119
Mapa_classificação_contextual3X3_MPAD_120DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,120
Mapa_classificação_contextual3X3_MPAD_121DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,121
Mapa_classificação_contextual3X3_MPAD_122DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,122
Mapa_classificação_contextual3X3_MPAD_123DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,123
Mapa_classificação_contextual3X3_MPAD_124DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,124
Mapa_classificação_contextual3X3_MPAD_125DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,125
Mapa_classificação_contextual3X3_MPAD_126DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,126
Mapa_classificação_contextual3X3_MPAD_127DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,127
Mapa_classificação_contextual3X3_MPAD_128DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,128
Mapa_classificação_contextual3X3_MPAD_129DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,129
Mapa_classificação_contextual3X3_MPAD_130DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,130
Mapa_classificação_contextual3X3_MPAD_131DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,131
Mapa_classificação_contextual3X3_MPAD_132DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,132
Mapa_classificação_contextual3X3_MPAD_133DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,133
Mapa_classificação_contextual3X3_MPAD_134DP.tif,3,0.84,2.11,-0.12,0.81,0.95,1,0.55,0.94,0.7,0.91,134
